2026-02-20 10:23:56.808927,0|H0STASP0|001|005930^122356^0^188800^188900^189000^189100^189200^189300^189400^189500^189600^189700^188700^188600^188500^188400^188300^188200^188100^188000^187900^187800^4684^10597^18061^9936^21807^1168^3666^26104^1729^7669^52426^76721^162980^62469^26053^21340^45673^143036^10418^12189^105421^613305^0^0^0^0^628899^-190000^5^-100.00^12927581^-45^126^0^0^0^188750^0^0
2026-02-20 10:23:57.052071,0|H0STASP0|001|005930^122356^0^188800^188900^189000^189100^189200^189300^189400^189500^189600^189700^188700^188600^188500^188400^188300^188200^188100^188000^187900^187800^1354^10597^18061^9936^21807^1168^3666^26104^1729^7669^52618^76728^162985^62470^26053^21340^45673^143037^10418^12189^102091^613511^0^0^0^0^628899^-190000^5^-100.00^12930918^-56^9^0^0^0^188750^0^0
2026-02-20 10:23:57.225864,0|H0STASP0|001|005930^122357^0^188900^189000^189100^189200^189300^189400^189500^189600^189700^189800^188800^188700^188600^188500^188400^188300^188200^188100^188000^187900^10597^18061^9936^20332^1168^3666^26104^1729^7669^13422^1194^52607^76728^162985^62470^26054^21340^45673^143037^10418^112684^602506^0^0^0^0^628899^-190000^5^-100.00^12932842^10057^-11030^0^0^0^188850^0^0
2026-02-20 10:23:57.488051,0|H0STASP0|001|005930^122357^0^188900^189000^189100^189200^189300^189400^189500^189600^189700^189800^188800^188700^188600^188500^188400^188300^188200^188100^188000^187900^4094^13806^10270^20332^1000^3666^26104^1729^7669^13422^4932^47102^76731^162997^62470^26054^21340^45673^143042^10418^102092^600759^0^0^0^0^628899^-190000^5^-100.00^12934748^-2750^731^0^0^0^188850^0^0
2026-02-20 10:23:57.661594,0|H0STASP0|001|005930^122357^0^188900^189000^189100^189200^189300^189400^189500^189600^189700^189800^188800^188700^188600^188500^188400^188300^188200^188100^188000^187900^4068^10805^13271^20332^1000^3666^26104^1729^7669^13422^24096^27640^76730^159327^62495^26055^21340^45673^143038^10418^102066^596812^0^0^0^0^628899^-190000^5^-100.00^12935418^-25^33^0^0^0^188850^0^0
2026-02-20 10:23:57.929856,0|H0STASP0|001|005930^122357^0^188900^189000^189100^189200^189300^189400^189500^189600^189700^189800^188800^188700^188600^188500^188400^188300^188200^188100^188000^187900^6334^16806^7129^20332^1000^3666^26104^1729^7669^13422^4826^48120^76729^159328^62494^26055^21339^45674^143039^10418^104191^598022^0^0^0^0^628899^-190000^5^-100.00^12935418^2126^964^0^0^0^188850^0^0
2026-02-20 10:23:58.071318,0|H0STASP0|001|005930^122357^0^188900^189000^189100^189200^189300^189400^189500^189600^189700^189800^188800^188700^188600^188500^188400^188300^188200^188100^188000^187900^7131^17806^6128^20332^1000^3666^26104^1729^7669^13422^2069^48189^76739^159328^62494^26056^21339^45673^143040^10418^104987^595345^0^0^0^0^628899^-190000^5^-100.00^12935418^797^34^0^0^0^188850^0^0
2026-02-20 10:23:58.303116,0|H0STASP0|001|005930^122358^0^188900^189000^189100^189200^189300^189400^189500^189600^189700^189800^188800^188700^188600^188500^188400^188300^188200^188100^188000^187900^7051^17821^6128^20332^1000^3666^26104^1729^7669^13436^2394^48153^76749^159380^62536^26058^21339^45673^143040^10418^104936^595740^0^0^0^0^628899^-190000^5^-100.00^12935500^15^174^0^0^0^188850^2^2
2026-02-20 10:23:58.490456,0|H0STASP0|001|005930^122358^0^188900^189000^189100^189200^189300^189400^189500^189600^189700^189800^188800^188700^188600^188500^188400^188300^188200^188100^188000^187900^7051^17821^6128^20333^1000^3666^26104^1729^7669^13436^2505^48152^76749^159485^62546^26058^21339^45673^143040^10418^104937^595965^0^0^0^0^628899^-190000^5^-100.00^12935500^1^62^0^0^0^188850^2^2
2026-02-20 10:23:58.716360,0|H0STASP0|001|005930^122358^0^188900^189000^189100^189200^189300^189400^189500^189600^189700^189800^188800^188700^188600^188500^188400^188300^188200^188100^188000^187900^7011^17876^6128^20333^1000^3666^26104^1729^7669^13436^2625^48194^76749^159490^62547^26058^21339^45674^143052^10418^104952^596146^0^0^0^0^628899^-190000^5^-100.00^12935500^15^87^0^0^0^188850^2^2
